SA2_CODE_2021,went_to_work_total,car_share,pt_share,SA2_NAME21,stops_count,area_km2,stops_per_km2,region,IRSAD_Score,IRSAD_Decile
201011001,6212,0.9505795235028976,0.0136831938184159,Alfredton,43,52.711,1.0,VIC,1011,6
201011002,3911,0.8087445666070059,0.0225006392227051,Ballarat,115,12.379,9.0,VIC,1040,7
201011005,2305,0.9427331887201736,0.0160520607375271,Buninyong,37,51.585,1.0,VIC,1040,7
201011006,4005,0.9538077403245944,0.013732833957553,Delacombe,39,34.161,1.0,VIC,947,3
201011007,1636,0.9511002444987776,0.0085574572127139,Smythes Creek,5,104.727,0.0,VIC,1005,6
201011008,4927,0.930992490359245,0.0154252080373452,Wendouree - Miners Rest,120,67.574,2.0,VIC,886,1
201011481,3071,0.904591338326278,0.0309345490068381,Ballarat East - Warrenheip,59,19.216,3.0,VIC,940,3
201011482,5166,0.9305071622144792,0.0154858691444057,Ballarat North - Invermay,64,73.142,1.0,VIC,1015,6
201011483,4037,0.9093386177854844,0.0220460738171909,Canadian - Mount Clear,65,22.272,3.0,VIC,963,4
201011484,4129,0.92879631872124,0.0201017195446839,Sebastopol - Redan,67,10.582,6.0,VIC,861,1
201021009,2159,0.9096804075961094,0.0222325150532654,Bacchus Marsh Surrounds,13,1038.811,0.0,VIC,988,5
201021010,2390,0.9142259414225942,0.0112970711297071,Creswick - Clunes,66,856.789,0.0,VIC,955,4
201021011,2530,0.8719367588932806,0.008695652173913,Daylesford,43,920.759,0.0,VIC,1011,6
201021012,2178,0.9026629935720843,0.0215794306703397,Gordon (Vic.),33,850.314,0.0,VIC,1001,6
201031013,944,0.8760593220338984,0.0031779661016949,Avoca,18,1714.24,0.0,VIC,918,2
201031014,1333,0.905476369092273,0.0022505626406601,Beaufort,11,1863.044,0.0,VIC,939,3
201031015,1572,0.9402035623409668,0.0165394402035623,Golden Plains - North,11,922.081,0.0,VIC,955,4
201031016,2294,0.9001743679163035,0.0,Maryborough (Vic.),86,45.538,2.0,VIC,854,1
201031017,1506,0.9236387782204516,0.0086321381142098,Maryborough Surrounds,17,1627.552,0.0,VIC,886,1
202011018,5078,0.8436392280425364,0.0198897203623473,Bendigo,149,16.08,9.0,VIC,918,2
202011019,4438,0.9450202794051374,0.0137449301487156,California Gully - Eaglehawk,81,32.931,2.0,VIC,888,1
202011020,4698,0.9088974031502768,0.0200085142613878,East Bendigo - Kennington,80,17.149,5.0,VIC,986,5
202011021,3325,0.9019548872180452,0.026766917293233,Flora Hill - Spring Gully,67,13.203,5.0,VIC,981,5
202011022,6959,0.9334674522201466,0.022848110360684,Kangaroo Flat - Golden Square,135,40.915,3.0,VIC,921,2
202011023,2172,0.9534990791896868,0.0069060773480662,Maiden Gully,30,42.976,1.0,VIC,1024,7
202011024,3737,0.9585228793149584,0.0069574525020069,Strathfieldsaye,63,56.414,1.0,VIC,1050,8
202011025,5259,0.9490397413957026,0.0148317170564746,White Hills - Ascot,98,67.777,1.0,VIC,961,4
202021026,3046,0.9464871963230466,0.0032829940906106,Bendigo Surrounds - South,8,796.853,0.0,VIC,1025,7
202021027,2781,0.839626033800791,0.0413520316432937,Castlemaine,65,83.929,1.0,VIC,984,5
202021028,2612,0.9000765696784073,0.0218223583460949,Castlemaine Surrounds,34,1514.98,0.0,VIC,992,5
202021029,1393,0.9289303661162958,0.0107681263460157,Heathcote,16,756.818,0.0,VIC,932,3
202021030,3023,0.8878597419781674,0.0261329804829639,Kyneton,46,556.49,0.0,VIC,1019,6
202021031,1977,0.8856853818917552,0.0374304501770359,Woodend,6,211.868,0.0,VIC,1064,8
202031032,1601,0.9169269206745784,0.0018738288569643,Bendigo Surrounds - North,22,1440.217,0.0,VIC,952,4
202031033,2023,0.8264953040039545,0.0034602076124567,Loddon,49,6193.307,0.0,VIC,925,2
203011034,2790,0.942652329749104,0.0118279569892473,Bannockburn,8,192.052,0.0,VIC,1014,6
203011035,2830,0.9254416961130744,0.0141342756183745,Golden Plains - South,7,1484.529,0.0,VIC,1002,6
203011036,2227,0.9083969465648856,0.0116748989672204,Winchelsea,3,903.257,0.0,VIC,1026,7
203021037,5069,0.9043203787729336,0.0366936279345038,Belmont,63,9.368,7.0,VIC,995,5
203021039,4751,0.782993054093875,0.0463060408335087,Geelong,129,12.816,10.0,VIC,1014,6
203021040,7577,0.8923056618714531,0.0356341559984162,Geelong West - Hamlyn Heights,101,32.038,3.0,VIC,1022,7
203021042,7966,0.9293246296761236,0.0279939743911624,Highton,80,40.587,2.0,VIC,1070,8
203021043,7027,0.9255727906645794,0.0402732318201223,Lara,71,588.602,0.0,VIC,994,5
203021044,4707,0.9420012746972594,0.0186955598045464,Leopold,70,27.929,3.0,VIC,983,5
203021045,5052,0.9158749010292954,0.0285035629453681,Newcomb - Moolap,118,43.294,3.0,VIC,891,1
203021046,3389,0.8663322514015934,0.0277367955149011,Newtown (Vic.),51,5.807,9.0,VIC,1081,9
203021047,5133,0.906097798558348,0.0366257549191505,North Geelong - Bell Park,97,21.933,4.0,VIC,956,4
203021485,4018,0.9514683922349428,0.0258835241413638,Charlemont,60,18.117,3.0,VIC,1021,6
203021486,5837,0.9148535206441664,0.0394038033236251,Corio - Lovely Banks,83,74.351,1.0,VIC,849,1
203021487,8855,0.9376623376623376,0.0295878035008469,Grovedale - Mount Duneed,121,37.588,3.0,VIC,1003,6
203021488,2461,0.8955709061357172,0.0564811052417716,Norlane,52,6.462,8.0,VIC,788,1
203031048,5334,0.9454443194600676,0.0202474690663667,Clifton Springs,77,65.149,1.0,VIC,974,5
203031049,1585,0.8586750788643533,0.0100946372239747,Lorne - Anglesea,17,447.991,0.0,VIC,1065,8
203031051,2186,0.9057639524245196,0.0182982616651418,Portarlington,91,71.855,1.0,VIC,972,4
203031052,1175,0.8919148936170213,0.011063829787234,Point Lonsdale - Queenscliff,41,61.673,1.0,VIC,1064,8
203031053,7292,0.9221064179923204,0.0127537026878771,Torquay,95,126.32,1.0,VIC,1092,9
203031489,3705,0.9230769230769232,0.0175438596491228,Barwon Heads - Armstrong Creek,58,88.211,1.0,VIC,1064,8
203031490,5722,0.9302691366655016,0.0103110800419433,Ocean Grove,68,68.769,1.0,VIC,1055,8
204011054,2050,0.8541463414634146,0.0102439024390243,Alexandra,31,2118.967,0.0,VIC,953,4
204011055,1967,0.8647686832740213,0.0,Euroa,12,2057.905,0.0,VIC,951,4
204011056,5263,0.927607828234847,0.0186205586167585,Kilmore - Broadford,45,461.523,0.0,VIC,966,4
204011057,3428,0.837514585764294,0.0087514585764294,Mansfield (Vic.),20,3927.862,0.0,VIC,990,5
204011058,1513,0.8830138797091871,0.014540647719762,Nagambie,8,1294.349,0.0,VIC,959,4
204011059,2127,0.8824635637047484,0.0117536436295251,Seymour,54,79.309,1.0,VIC,884,1
204011060,1781,0.8192026951151039,0.0039303761931499,Seymour Surrounds,29,1688.831,0.0,VIC,1010,6
